Station	nRides
S 27th St & Sidney St. (Southside Works)	4345
Forbes Ave & Market Sq	4121
Liberty Ave & Stanwix St	3661
10th St & Penn Ave	3472
21st St & Penn Ave	3309
Isabella St & Federal St	2883
North Shore Trail & Fort Duquesne Bridge	2853
S 12th St & E Carson St	2242
42nd St & Butler St	2005
Fifth Ave & S Bouquet	1931
Ivy St & Walnut St	1853
Schenley Dr at Schenley Plaza	1829
Fort Duquesne Blvd & 7th	1817
S 18th St & Sidney St	1804
17th St & Penn Ave	1722
37th St & Butler St	1700
Federal St & E North Ave	1682
First Ave & B St	1595
S 25th St & E Carson St	1405
Ross St & Sixth Ave	1365
S 22nd St & E Carson St	1321
12th St & Penn Ave	1274
Forbes Ave & Grant St	1248
Third Ave & Wood St	1139
Ellsworth Ave & N Neville St	1091
Bigelow Blvd & Fifth Ave	1086
Alder St & S Highland Ave	1081
Ridge Ave & Brighton Rd (CCAC)	1032
First Ave & Smithfield St	1015
Liberty Ave & Baum Blvd	1014
Atwood St & Bates	1006
Boulevard of the Allies & Parkview Ave	987
Stevenson St & Forbes Ave	987
Fifth Ave & S Dithridge St	932
Taylor St & Liberty Ave	897
Penn Ave & Putnam St (Bakery Square)	888
Liberty Ave & S Millvale	822
S Negley Ave & Baum Blvd	739
42nd & Penn Ave.	728
Zulema St & Coltart Ave	684
Maryland Ave & Ellsworth Ave	659
Coltart Ave & Forbes Ave	517
Penn Ave & N Fairmount St	513
S Euclid Ave & Centre Ave	394
Centre Ave & PPG Paints Arena	381
Shady Ave & Ellsworth Ave	302
Frew St & Schenley Dr	192
Centre Ave & Kirkpatrick St	81